"Date","MHICIUBTX48001A052NCEN","MHICIUBTX48003A052NCEN","MHICIUBTX48005A052NCEN","MHICIUBTX48007A052NCEN","MHICIUBTX48009A052NCEN","MHICIUBTX48011A052NCEN","MHICIUBTX48013A052NCEN","MHICIUBTX48015A052NCEN","MHICIUBTX48017A052NCEN","MHICIUBTX48019A052NCEN","MHICIUBTX48021A052NCEN","MHICIUBTX48023A052NCEN","MHICIUBTX48025A052NCEN","MHICIUBTX48027A052NCEN","MHICIUBTX48029A052NCEN","MHICIUBTX48031A052NCEN","MHICIUBTX48033A052NCEN","MHICIUBTX48035A052NCEN","MHICIUBTX48037A052NCEN","MHICIUBTX48039A052NCEN","MHICIUBTX48041A052NCEN","MHICIUBTX48043A052NCEN","MHICIUBTX48045A052NCEN","MHICIUBTX48047A052NCEN","MHICIUBTX48049A052NCEN","MHICIUBTX48051A052NCEN","MHICIUBTX48053A052NCEN","MHICIUBTX48055A052NCEN","MHICIUBTX48057A052NCEN","MHICIUBTX48059A052NCEN","MHICIUBTX48061A052NCEN","MHICIUBTX48063A052NCEN","MHICIUBTX48065A052NCEN","MHICIUBTX48067A052NCEN","MHICIUBTX48069A052NCEN","MHICIUBTX48071A052NCEN","MHICIUBTX48073A052NCEN","MHICIUBTX48075A052NCEN","MHICIUBTX48077A052NCEN","MHICIUBTX48079A052NCEN","MHICIUBTX48081A052NCEN","MHICIUBTX48083A052NCEN","MHICIUBTX48085A052NCEN","MHICIUBTX48087A052NCEN","MHICIUBTX48089A052NCEN","MHICIUBTX48091A052NCEN","MHICIUBTX48093A052NCEN","MHICIUBTX48095A052NCEN","MHICIUBTX48097A052NCEN","MHICIUBTX48099A052NCEN","MHICIUBTX48101A052NCEN","MHICIUBTX48103A052NCEN","MHICIUBTX48105A052NCEN","MHICIUBTX48107A052NCEN","MHICIUBTX48109A052NCEN","MHICIUBTX48111A052NCEN","MHICIUBTX48113A052NCEN","MHICIUBTX48115A052NCEN","MHICIUBTX48117A052NCEN","MHICIUBTX48119A052NCEN","MHICIUBTX48121A052NCEN","MHICIUBTX48123A052NCEN","MHICIUBTX48125A052NCEN","MHICIUBTX48127A052NCEN","MHICIUBTX48129A052NCEN","MHICIUBTX48131A052NCEN","MHICIUBTX48133A052NCEN","MHICIUBTX48135A052NCEN","MHICIUBTX48137A052NCEN","MHICIUBTX48141A052NCEN","MHICIUBTX48139A052NCEN","MHICIUBTX48143A052NCEN","MHICIUBTX48145A052NCEN","MHICIUBTX48147A052NCEN","MHICIUBTX48149A052NCEN","MHICIUBTX48151A052NCEN","MHICIUBTX48153A052NCEN","MHICIUBTX48155A052NCEN","MHICIUBTX48157A052NCEN","MHICIUBTX48159A052NCEN","MHICIUBTX48161A052NCEN","MHICIUBTX48163A052NCEN","MHICIUBTX48165A052NCEN","MHICIUBTX48167A052NCEN","MHICIUBTX48169A052NCEN","MHICIUBTX48171A052NCEN","MHICIUBTX48173A052NCEN","MHICIUBTX48175A052NCEN","MHICIUBTX48177A052NCEN","MHICIUBTX48179A052NCEN","MHICIUBTX48181A052NCEN","MHICIUBTX48183A052NCEN","MHICIUBTX48185A052NCEN","MHICIUBTX48187A052NCEN","MHICIUBTX48189A052NCEN","MHICIUBTX48191A052NCEN","MHICIUBTX48193A052NCEN","MHICIUBTX48195A052NCEN","MHICIUBTX48197A052NCEN","MHICIUBTX48199A052NCEN","MHICIUBTX48201A052NCEN","MHICIUBTX48203A052NCEN","MHICIUBTX48205A052NCEN","MHICIUBTX48207A052NCEN","MHICIUBTX48209A052NCEN","MHICIUBTX48211A052NCEN","MHICIUBTX48213A052NCEN","MHICIUBTX48215A052NCEN","MHICIUBTX48217A052NCEN","MHICIUBTX48219A052NCEN","MHICIUBTX48221A052NCEN","MHICIUBTX48223A052NCEN","MHICIUBTX48225A052NCEN","MHICIUBTX48227A052NCEN","MHICIUBTX48229A052NCEN","MHICIUBTX48231A052NCEN","MHICIUBTX48233A052NCEN","MHICIUBTX48235A052NCEN","MHICIUBTX48237A052NCEN","MHICIUBTX48239A052NCEN","MHICIUBTX48241A052NCEN","MHICIUBTX48243A052NCEN","MHICIUBTX48245A052NCEN","MHICIUBTX48247A052NCEN","MHICIUBTX48249A052NCEN","MHICIUBTX48251A052NCEN","MHICIUBTX48253A052NCEN","MHICIUBTX48255A052NCEN","MHICIUBTX48257A052NCEN","MHICIUBTX48259A052NCEN","MHICIUBTX48261A052NCEN","MHICIUBTX48263A052NCEN","MHICIUBTX48265A052NCEN","MHICIUBTX48267A052NCEN","MHICIUBTX48269A052NCEN","MHICIUBTX48271A052NCEN","MHICIUBTX48273A052NCEN","MHICIUBTX48275A052NCEN","MHICIUBTX48283A052NCEN","MHICIUBTX48277A052NCEN","MHICIUBTX48279A052NCEN","MHICIUBTX48281A052NCEN","MHICIUBTX48285A052NCEN","MHICIUBTX48287A052NCEN","MHICIUBTX48289A052NCEN","MHICIUBTX48291A052NCEN","MHICIUBTX48293A052NCEN","MHICIUBTX48295A052NCEN","MHICIUBTX48297A052NCEN","MHICIUBTX48299A052NCEN","MHICIUBTX48301A052NCEN","MHICIUBTX48303A052NCEN","MHICIUBTX48305A052NCEN","MHICIUBTX48313A052NCEN","MHICIUBTX48315A052NCEN","MHICIUBTX48317A052NCEN","MHICIUBTX48319A052NCEN","MHICIUBTX48321A052NCEN","MHICIUBTX48323A052NCEN","MHICIUBTX48307A052NCEN","MHICIUBTX48309A052NCEN","MHICIUBTX48311A052NCEN","MHICIUBTX48325A052NCEN","MHICIUBTX48327A052NCEN","MHICIUBTX48329A052NCEN","MHICIUBTX48331A052NCEN","MHICIUBTX48333A052NCEN","MHICIUBTX48335A052NCEN","MHICIUBTX48337A052NCEN","MHICIUBTX48339A052NCEN","MHICIUBTX48341A052NCEN","MHICIUBTX48343A052NCEN","MHICIUBTX48345A052NCEN","MHICIUBTX48347A052NCEN","MHICIUBTX48349A052NCEN","MHICIUBTX48351A052NCEN","MHICIUBTX48353A052NCEN","MHICIUBTX48355A052NCEN","MHICIUBTX48357A052NCEN","MHICIUBTX48359A052NCEN","MHICIUBTX48361A052NCEN","MHICIUBTX48363A052NCEN","MHICIUBTX48365A052NCEN","MHICIUBTX48367A052NCEN","MHICIUBTX48369A052NCEN","MHICIUBTX48371A052NCEN","MHICIUBTX48373A052NCEN","MHICIUBTX48375A052NCEN","MHICIUBTX48377A052NCEN","MHICIUBTX48379A052NCEN","MHICIUBTX48381A052NCEN","MHICIUBTX48383A052NCEN","MHICIUBTX48385A052NCEN","MHICIUBTX48387A052NCEN","MHICIUBTX48389A052NCEN","MHICIUBTX48391A052NCEN","MHICIUBTX48393A052NCEN","MHICIUBTX48395A052NCEN","MHICIUBTX48397A052NCEN","MHICIUBTX48399A052NCEN","MHICIUBTX48401A052NCEN","MHICIUBTX48403A052NCEN","MHICIUBTX48405A052NCEN","MHICIUBTX48407A052NCEN","MHICIUBTX48409A052NCEN","MHICIUBTX48411A052NCEN","MHICIUBTX48413A052NCEN","MHICIUBTX48415A052NCEN","MHICIUBTX48417A052NCEN","MHICIUBTX48419A052NCEN","MHICIUBTX48421A052NCEN","MHICIUBTX48423A052NCEN","MHICIUBTX48425A052NCEN","MHICIUBTX48427A052NCEN","MHICIUBTX48429A052NCEN","MHICIUBTX48431A052NCEN","MHICIUBTX48433A052NCEN","MHICIUBTX48435A052NCEN","MHICIUBTX48437A052NCEN","MHICIUBTX48439A052NCEN","MHICIUBTX48441A052NCEN","MHICIUBTX48443A052NCEN","MHICIUBTX48445A052NCEN","MHICIUBTX48447A052NCEN","MHICIUBTX48449A052NCEN","MHICIUBTX48451A052NCEN","MHICIUBTX48453A052NCEN","MHICIUBTX48455A052NCEN","MHICIUBTX48457A052NCEN","MHICIUBTX48459A052NCEN","MHICIUBTX48461A052NCEN","MHICIUBTX48463A052NCEN","MHICIUBTX48465A052NCEN","MHICIUBTX48467A052NCEN","MHICIUBTX48469A052NCEN","MHICIUBTX48471A052NCEN","MHICIUBTX48473A052NCEN","MHICIUBTX48475A052NCEN","MHICIUBTX48477A052NCEN","MHICIUBTX48479A052NCEN","MHICIUBTX48481A052NCEN","MHICIUBTX48483A052NCEN","MHICIUBTX48485A052NCEN","MHICIUBTX48487A052NCEN","MHICIUBTX48489A052NCEN","MHICIUBTX48491A052NCEN","MHICIUBTX48493A052NCEN","MHICIUBTX48495A052NCEN","MHICIUBTX48497A052NCEN","MHICIUBTX48499A052NCEN","MHICIUBTX48501A052NCEN","MHICIUBTX48503A052NCEN","MHICIUBTX48505A052NCEN","MHICIUBTX48507A052NCEN"
1989-01-01,"25062","30379","26326","21412","28063","23245","22830","26020","22920","24554","24862","19104","22740","24423","24515","22678","28285","22347","26795","35926","26161","20526","19490","16522","22493","22564","23185","22432","25607","23783","18718","24036","29449","22410","28007","30871","21670","19989","25895","22367","22934","19225","50201","19910","23012","29586","20085","20554","25879","26041","18616","30500","26889","22263","18311","23550","32153","22959","26720","20565","39580","21030","16409","16587","20144","17729","19296","26532","18824","21397","30480","24235","17873","22203","22322","21683","23859","20039","45915","24187","23850","17153","26189","30176","21890","23387","31502","22490","19817","28857","27718","28576","21974","27688","23710","18597","19223","39247","21770","28587","31065","25221","46856","20870","26991","35535","23486","18481","21805","26818","33642","24466","19930","24718","19030","26568","30727","26604","23022","24150","23863","22568","27845","19124","21310","31685","21091","19939","27360","30668","20464","21235","24874","20811","27619","18039","23723","20820","14913","23750","22195","23506","22536","24938","21082","26292","20299","27722","23352","21653","30910","26537","23149","21994","19288","24772","19582","28578","15480","17732","24692","29268","23427","16791","32204","22186","20181","21026","21108","33744","31037","21552","19976","23364","22268","20973","22394","26205","29555","33977","28513","22867","25851","32522","29156","23712","20769","22868","15098","22930","35787","31094","16025","17298","20916","24667","31076","19145","43224","21050","25029","19396","17808","21930","24476","18446","25079","27124","24111","19628","30647","27824","31672","12681","22510","27176","21578","28601","23147","34032","26162","25555","24926","21125","25207","26130","29442","19351","21210","24955","28293","19693","20519","23453","29141","26907","25874","27492","26344","18045","26834","25031","26616","22867","16959","34163","25872","27735","28925","22805","30942","25090","17265","13884"
1990-01-01,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1991-01-01,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1992-01-01,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1993-01-01,"27739","32821","28200","25697","31293","29924","26032","31323","26911","30021","29852","22553","25571","28706","28218","26818","38774","25756","30318","40550","29959","23720","24000","17857","25388","25711","27902","26002","29318","26571","21535","24500","34358","24890","27966","37904","24385","23742","29531","25834","25878","20931","57997","22924","26088","34412","22606","22957","29831","30973","20490","36645","26586","24323","21944","26851","35372","25606","28417","24355","46261","24275","19736","17731","22234","18519","21132","29387","22048","25910","35509","27116","21951","25924","27034","24783","26426","23345","50938","28144","27181","19195","30313","36024","25155","28628","37665","26304","22556","31177","30413","30820","25744","32525","26966","19589","23264","34666","23434","31940","36033","27791","40026","23943","32878","37944","25755","20209","24693","30822","35785","26527","23749","27799","24101","29968","33666","31315","26423","27692","25916","26593","30668","20933","23020","34810","23936","21637","32155","36899","22015","24734","27689","22769","34961","19996","27053","22811","20035","27380","25816","27783","26005","29003","25108","29239","24070","31391","27160","23914","28262","29714","26147","23982","19970","28796","21592","30453","16557","21649","28630","32215","27960","18934","36661","25068","23030","23533","24162","39676","33764","24319","23452","26047","25982","22349","25272","30761","33982","35457","32735","25884","28058","35887","29539","26337","24116","25205","16246","26416","40764","35636","20779","20911","23230","26321","37105","21982","49158","23862","27384","22207","19712","24806","28363","20580","28182","30325","25845","22943","34487","31224","33311","14568","24182","32001","24818","28632","27148","39716","29901","25239","28685","25294","26061","29689","36441","22132","24966","27070","30954","21976","23264","26437","31946","30061","28397","28728","30174","22653","29282","25659","30232","26538","19232","42693","30544","28903","31993","25606","34317","26995","19927","15600"
1994-01-01,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1995-01-01,"30889","35183","32064","29520","34577","31343","28455","34732","28172","35022","34495","24559","28414","32578","31987","31902","38106","29533","33463","43622","32110","26328","23596","20328","28380","29129","31928","29682","31761","29356","24736","27862","38112","28535","30186","43985","27725","26666","31879","28667","27724","22877","64065","23027","29912","40590","25409","23100","32911","33455","21116","38242","28772","24582","21571","32885","39862","27322","30236","27677","50891","27335","21828","19901","25605","21046","23929","31310","22004","27893","40883","28773","25917","28891","30336","25941","26827","23628","58312","30333","30419","22047","29912","40228","28310","32559","32028","29744","24958","32978","33520","34688","29821","35555","29586","21161","26064","34049","26165","36858","37663","30925","42068","23902","38160","40080","29306","22712","28377","32423","40874","28175","25826","30415","20625","32231","37090","34766","29109","32068","30234","28111","33047","23213","26434","39095","26266","24313","36999","42192","24025","29648","31530","24653","33392","22929","29373","24614","22262","30319","28258","30049","28731","32982","29405","33067","27079","32573","30011","27912","30896","33081","26230","26226","23246","28849","22698","33052","20551","24433","33088","33303","32240","22038","40224","27317","24936","25627","27358","47645","35832","28290","22707","28473","29187","27263","27583","30364","36044","35778","36952","27867","30451","40572","29245","28953","29943","29750","20003","29438","43697","37136","24994","23126","24205","30137","37500","25128","57990","26774","30040","26804","23435","29876","31277","23007","30605","32671","28771","25879","33020","35110","38082","21241","28140","36573","27377","31458","28179","43278","32090","26071","30553","25129","30193","32385","40907","25622","29319","30615","32392","24426","25213","30047","37230","31659","30373","29675","33328","27236","32139","29143","33101","28622","22302","52540","34464","31621","36362","29060","34843","29127","24023","18309"
1996-01-01,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1997-01-01,"32678","37716","33337","30738","39479","34209","29893","37004","30083","36368","37051","26538","29964","34563","34771","32427","39930","31740","35354","46620","35245","28090","26996","20847","30054","30878","34300","31065","33509","31499","24563","30341","41149","30978","31816","46470","30153","28543","35433","29592","28820","24833","68816","26207","32046","42560","26781","26326","36036","36408","24313","41236","32339","26178","23560","33259","43187","28850","31414","29473","55103","28574","24651","20226","27180","23002","25782","34106","24719","28530","42892","30817","27398","31680","32577","29465","29666","26308","58140","32888","31979","23194","32592","41973","29664","34563","39307","31185","26987","35800","36203","36647","31018","37860","31258","23184","28447","39408","28595","38344","40974","32866","47406","26942","40386","45403","31444","22814","30578","34354","42028","31198","28245","32419","23751","34555","39848","34769","31432","33423","32112","29361","35273","25067","27777","40792","28565","26441","38520","42309","26897","31564","33646","26710","35621","25028","30999","26939","23282","32656","29247","31240","31050","33503","30769","34737","28331","37808","32598","29908","35590","34899","29883","28647","24496","32260","25602","34577","19800","26629","34771","37436","32665","22794","41436","29643","27125","28123","29213","49236","38294","30660","25613","30814","31289","28523","29449","32037","39766","38372","38750","30153","33219","43501","33082","30439","30632","30917","21149","31259","47636","39261","25475","25143","26043","31502","37598","26701","60505","27824","32504","28274","24970","31469","31825","25036","32786","35380","31370","27733","38448","37392","41571","17916","29156","35955","29688","34846","31238","45360","34675","28134","32347","29174","31947","33972","42933","27216","30337","32664","34845","25557","26923","31986","39329","34028","32870","32695","36038","26359","33606","31955","35370","30108","22106","53114","36230","34689","39145","30503","38516","31588","24121","18734"
1998-01-01,"33522","37956","34334","32973","41731","34917","31070","38387","30580","39183","39074","27325","31051","36127","36617","32808","37800","33490","35452","48819","37143","30737","28123","21879","31375","31503","37852","32978","36043","32676","25820","32244","42827","31484","33087","47273","31513","29763","36903","29640","30053","25357","74466","26428","33126","44660","27851","26128","37527","38270","25116","40585","33614","25918","24393","34022","45004","29139","32357","31085","59252","30244","25408","21540","27063","24015","27543","35131","24048","28979","44560","32655","28205","33277","33780","29536","30870","26999","60185","33845","33416","24837","32504","44507","28880","35883","39679","34309","29032","37327","37647","37523","32630","39116","32633","23867","29663","41009","30006","40592","42683","33747","51253","26306","42284","46312","32847","23621","31719","34165","43171","33408","29462","32907","23888","36178","41968","36109","32495","34851","33307","30064","36646","26538","28653","42676","28865","27527","40402","45621","27439","32401","34792","27392","36206","26928","31575","28379","24106","33574","30615","32798","32089","35398","31796","36468","28879","37233","33857","31690","42190","35821","28720","30823","25642","32200","26133","35863","20996","27002","36137","38151","34166","23087","42333","31073","27571","28974","30714","50773","38857","31513","26250","32458","32613","30390","29994","33219","41547","40059","40012","31046","35062","45497","34561","30340","33130","32207","21733","32426","50147","37811","25960","25745","26734","33263","41702","27618","63006","28570","33680","29929","26626","32734","33032","26707","31710","35538","31825","29639","40816","38651","41807","20015","30866","37217","29926","35877","32635","47110","35469","27521","31404","30972","32931","35298","46251","28625","31288","33305","35676","26540","28114","33818","39524","35579","34093","33605","37845","27091","34468","32123","36778","31909","22871","56919","38557","34853","41669","31555","37168","32446","25174","19368"
